"time,latitudelongitude,depthmagType,nstgap,dminrms,netid,updatedplace,typehorizontalError,depthErrormagError,magNststatus,locationSource,magSource"
",-5.2098,-81.3904,,,,,,,,,,,,,,,,,,"
",-5.2158,-81.3913,,,,,,,,,,,,,,,,,,"
",-5.2221,-81.3913,,,,,,,,,,,,,,,,,,"
",-5.2284,-81.3915,,,,,,,,,,,,,,,,,,"
",-5.2348,-81.3917,,,,,,,,,,,,,,,,,,"
",-5.241,-81.3915,,,,,,,,,,,,,,,,,,"
",-5.2473,-81.3906,,,,,,,,,,,,,,,,,,"
",-5.2535,-81.388699,,,,,,,,,,,,,,,,,,"
",-5.2572,-81.3835,,,,,,,,,,,,,,,,,,"
",-5.2545,-81.386399,,,,,,,,,,,,,,,,,,"
",-5.2532,-81.3874,,,,,,,,,,,,,,,,,,"
",-5.2545,-81.385499,,,,,,,,,,,,,,,,,,"
",-5.162,-81.3711,,,,,,,,,,,,,,,,,,"
",-5.1679,-81.370099,,,,,,,,,,,,,,,,,,"
",-5.1736,-81.369,,,,,,,,,,,,,,,,,,"
",-5.1791,-81.367599,,,,,,,,,,,,,,,,,,"
",-5.1848,-81.3668,,,,,,,,,,,,,,,,,,"
",-5.1906,-81.3663,,,,,,,,,,,,,,,,,,"
",-5.1964,-81.3652,,,,,,,,,,,,,,,,,,"
",-5.2022,-81.365599,,,,,,,,,,,,,,,,,,"
",-5.2081,-81.3659,,,,,,,,,,,,,,,,,,"
",-5.2142,-81.3666,,,,,,,,,,,,,,,,,,"
",-5.2204,-81.3663,,,,,,,,,,,,,,,,,,"
",-5.2266,-81.3661,,,,,,,,,,,,,,,,,,"
",-5.2326,-81.3682,,,,,,,,,,,,,,,,,,"
",-5.2381,-81.3718,,,,,,,,,,,,,,,,,,"
",-5.2346,-81.3697,,,,,,,,,,,,,,,,,,"
",-5.2332,-81.3698,,,,,,,,,,,,,,,,,,"
",-5.2322,-81.3725,,,,,,,,,,,,,,,,,,"
",-5.2313,-81.3743,,,,,,,,,,,,,,,,,,"
",-5.2573,-81.372599,,,,,,,,,,,,,,,,,,"
",-5.2462,-81.372999,,,,,,,,,,,,,,,,,,"
",-5.2394,-81.3725,,,,,,,,,,,,,,,,,,"
",-5.2327,-81.3714,,,,,,,,,,,,,,,,,,"
",-5.2263,-81.369599,,,,,,,,,,,,,,,,,,"
",-5.2201,-81.3675,,,,,,,,,,,,,,,,,,"
",-5.2136,-81.366899,,,,,,,,,,,,,,,,,,"
",-5.207,-81.365999,,,,,,,,,,,,,,,,,,"
",-5.2004,-81.3655,,,,,,,,,,,,,,,,,,"
",-5.1939,-81.3659,,,,,,,,,,,,,,,,,,"
",-5.1875,-81.3663,,,,,,,,,,,,,,,,,,"
",-5.181,-81.366899,,,,,,,,,,,,,,,,,,"
",-5.1746,-81.367799,,,,,,,,,,,,,,,,,,"
",-5.1684,-81.370299,,,,,,,,,,,,,,,,,,"
",-5.1622,-81.3729,,,,,,,,,,,,,,,,,,"
",-5.1559,-81.374,,,,,,,,,,,,,,,,,,"
",-5.1496,-81.3743,,,,,,,,,,,,,,,,,,"
",-5.1534,-81.3747,,,,,,,,,,,,,,,,,,"
",-5.1546,-81.3747,,,,,,,,,,,,,,,,,,"
